676307445424329,-0.801521,-1.172151,9.707737
676307465169225,-0.839826,-1.296644,9.746042
676307484914068,-0.748850,-1.215245,9.750832
676307504720006,-0.768003,-1.191303,9.679008
676307524495371,-0.916437,-1.181727,9.702950
676307544301308,-0.854191,-1.243974,9.712525
676307564290318,-0.858979,-1.191303,9.693373
676307584462454,-0.801521,-1.167363,9.736466
676307604634537,-0.863767,-1.205668,9.679008
676307624806673,-0.854191,-1.215245,9.707737
676307645009329,-0.835038,-1.181727,9.702950
676307665242454,-0.887708,-1.172151,9.693373
676307685475631,-0.878132,-1.143422,9.717314
676307705708756,-0.801521,-1.200880,9.693373
676307725941933,-0.796732,-1.224821,9.698160
676307746175058,-0.801521,-1.152998,9.688584
676307766408235,-0.806309,-1.114692,9.722101
676307786641360,-0.844614,-1.162574,9.688584
676307806874537,-0.811097,-1.210456,9.722101
676307827107714,-0.772791,-1.157786,9.707737
676307847340839,-0.887708,-1.191303,9.698160
676307867574016,-0.825462,-1.162574,9.702950
676307887807141,-0.839826,-1.196092,9.741255
676307908040318,-0.854191,-1.071599,9.755619
676307928273443,-0.830250,-1.042869,8.865014
676307948506621,-0.715333,-1.200880,9.353411
676307968739798,-0.954743,-1.248762,9.798714
676307988972923,-0.437617,-1.172151,9.607185
676308009206100,-0.945166,-1.181727,9.774773
676308029439225,-0.758427,-1.196092,9.760407
676308049672402,-0.926014,-1.181727,9.693373
676308069905527,-0.887708,-1.105116,9.707737
676308090138704,-0.672239,-1.129057,9.698160
676308110371829,-0.744062,-1.234397,9.726891
676308130605006,-0.820673,-1.267915,9.731678
676308150838183,-0.724909,-1.172151,9.674219
676308171071308,-0.705757,-1.062022,9.722101
676308191304485,-0.768003,-1.138633,9.736466
676308211537610,-0.705757,-1.239185,9.674219
676308231770787,-0.806309,-1.311008,9.683796
676308252003912,-0.782368,-1.162574,9.683796
676308272237089,-0.763215,-1.210456,9.736466
676308292470266,-0.700968,-1.138633,9.760407
676308312703391,-0.772791,-1.205668,9.760407
676308332906048,-0.753639,-1.176939,9.707737
676308352864537,-0.734486,-1.162574,9.702950
676308372585631,-0.748850,-1.133845,9.731678
676308392391568,-0.825462,-1.143422,9.736466
676308412197454,-0.787156,-1.229609,9.736466
676308432003391,-0.820673,-1.186515,9.717314
676308451809277,-0.672239,-1.095539,9.683796
676308471615162,-0.791944,-1.119480,9.679008
676308491421100,-0.696180,-1.062022,9.707737
676308511226985,-0.758427,-1.162574,9.726891
676308531063443,-0.811097,-1.062022,9.722101
676308550869329,-0.777579,-1.085963,9.746042
676308570675266,-0.724909,-1.148210,9.688584
676308590481152,-0.720121,-1.052446,9.755619
676308610287037,-0.744062,-0.899223,9.693373
676308630092975,-0.739274,-1.014140,9.731678
