Filter	Peak	Avg	AF	Time
dB-A	77.92	76.41	387	2022/7/11 16:12:01
dB-A	78.20	76.47	2853	2022/7/11 16:12:01
dB-A	80.18	76.74	592	2022/7/11 16:12:01
dB-A	79.73	76.92	516	2022/7/11 16:12:02
dB-A	77.76	76.83	279	2022/7/11 16:12:02
dB-A	79.76	77.32	543	2022/7/11 16:12:02
dB-A	78.25	77.83	279	2022/7/11 16:12:02
dB-A	83.89	78.93	2255	2022/7/11 16:12:02
dB-A	78.74	79.20	258	2022/7/11 16:12:02
dB-A	77.12	79.16	247	2022/7/11 16:12:02
dB-A	78.95	79.26	1900	2022/7/11 16:12:02
dB-A	74.26	78.87	1943	2022/7/11 16:12:02
dB-A	75.57	78.40	554	2022/7/11 16:12:02
dB-A	78.13	78.24	1518	2022/7/11 16:12:02
dB-A	75.97	78.06	306	2022/7/11 16:12:03
dB-A	78.17	77.91	2024	2022/7/11 16:12:03
dB-A	76.90	77.77	333	2022/7/11 16:12:03
dB-A	73.31	76.71	236	2022/7/11 16:12:03
dB-A	72.90	76.13	409	2022/7/11 16:12:03
dB-A	82.23	76.64	1598	2022/7/11 16:12:03
dB-A	76.55	76.40	360	2022/7/11 16:12:03
dB-A	75.02	76.48	2847	2022/7/11 16:12:03
dB-A	73.79	76.30	301	2022/7/11 16:12:03
dB-A	74.84	75.97	2400	2022/7/11 16:12:03
dB-A	75.17	75.89	306	2022/7/11 16:12:03
dB-A	72.81	75.35	532	2022/7/11 16:12:04
dB-A	71.91	74.85	285	2022/7/11 16:12:04
dB-A	73.40	74.86	269	2022/7/11 16:12:04
dB-A	69.26	74.50	279	2022/7/11 16:12:04
dB-A	69.98	73.27	570	2022/7/11 16:12:04
dB-A	67.42	72.36	689	2022/7/11 16:12:04
dB-A	71.77	72.03	694	2022/7/11 16:12:04
dB-A	68.80	71.53	721	2022/7/11 16:12:04
dB-A	69.94	71.04	253	2022/7/11 16:12:04
dB-A	72.40	70.77	581	2022/7/11 16:12:04
dB-A	75.74	71.06	715	2022/7/11 16:12:05
dB-A	73.73	71.24	301	2022/7/11 16:12:05
dB-A	72.68	71.17	339	2022/7/11 16:12:05
dB-A	74.24	71.67	732	2022/7/11 16:12:05
dB-A	72.95	71.97	597	2022/7/11 16:12:05
dB-A	75.26	72.75	613	2022/7/11 16:12:05
dB-A	75.41	73.11	710	2022/7/11 16:12:05
dB-A	74.33	73.67	1711	2022/7/11 16:12:05
dB-A	71.65	73.84	226	2022/7/11 16:12:05
dB-A	72.19	73.82	1701	2022/7/11 16:12:05
dB-A	71.54	73.40	1706	2022/7/11 16:12:05
dB-A	72.79	73.30	721	2022/7/11 16:12:06
dB-A	71.44	73.18	667	2022/7/11 16:12:06
dB-A	72.10	72.97	333	2022/7/11 16:12:06
dB-A	74.00	73.07	1641	2022/7/11 16:12:06
dB-A	72.32	72.78	253	2022/7/11 16:12:06
dB-A	76.75	72.91	672	2022/7/11 16:12:06
dB-A	75.12	72.99	1765	2022/7/11 16:12:06
dB-A	74.74	73.30	753	2022/7/11 16:12:06
dB-A	76.58	73.74	1674	2022/7/11 16:12:06
dB-A	80.94	74.68	1555	2022/7/11 16:12:06
dB-A	75.92	74.99	726	2022/7/11 16:12:06
dB-A	75.12	75.36	737	2022/7/11 16:12:07
dB-A	74.61	75.61	753	2022/7/11 16:12:07
dB-A	77.54	75.96	1868	2022/7/11 16:12:07
dB-A	74.93	76.22	247	2022/7/11 16:12:07
dB-A	71.36	75.69	317	2022/7/11 16:12:07
dB-A	74.85	75.66	1771	2022/7/11 16:12:07
