Filter	Peak	Avg	AF	Time
dB-A	70.35	70.60	339	2022/7/11 16:11:26
dB-A	69.42	70.60	285	2022/7/11 16:11:26
dB-A	70.54	70.72	290	2022/7/11 16:11:26
dB-A	77.53	71.31	710	2022/7/11 16:11:26
dB-A	72.31	71.29	274	2022/7/11 16:11:26
dB-A	71.59	71.25	301	2022/7/11 16:11:26
dB-A	72.85	71.38	328	2022/7/11 16:11:26
dB-A	70.45	71.44	290	2022/7/11 16:11:27
dB-A	69.38	71.25	382	2022/7/11 16:11:27
dB-A	70.73	71.52	333	2022/7/11 16:11:27
dB-A	71.48	71.63	629	2022/7/11 16:11:27
dB-A	70.40	71.73	710	2022/7/11 16:11:27
dB-A	72.26	71.90	710	2022/7/11 16:11:27
dB-A	72.73	71.42	689	2022/7/11 16:11:27
dB-A	75.34	71.72	699	2022/7/11 16:11:27
dB-A	74.27	71.99	769	2022/7/11 16:11:27
dB-A	76.26	72.33	409	2022/7/11 16:11:27
dB-A	70.59	72.34	339	2022/7/11 16:11:27
dB-A	71.08	72.51	333	2022/7/11 16:11:28
dB-A	74.89	72.93	742	2022/7/11 16:11:28
dB-A	73.83	73.17	296	2022/7/11 16:11:28
dB-A	71.83	73.31	247	2022/7/11 16:11:28
dB-A	71.32	73.21	285	2022/7/11 16:11:28
dB-A	71.30	73.07	279	2022/7/11 16:11:28
dB-A	69.70	72.51	306	2022/7/11 16:11:28
dB-A	75.09	72.59	1851	2022/7/11 16:11:28
dB-A	70.03	71.97	285	2022/7/11 16:11:28
dB-A	74.93	72.40	694	2022/7/11 16:11:28
dB-A	69.57	72.25	247	2022/7/11 16:11:29
dB-A	71.90	71.95	263	2022/7/11 16:11:29
dB-A	72.61	71.83	705	2022/7/11 16:11:29
dB-A	71.85	71.83	285	2022/7/11 16:11:29
dB-A	72.90	71.99	694	2022/7/11 16:11:29
dB-A	73.58	72.22	468	2022/7/11 16:11:29
dB-A	71.90	72.44	301	2022/7/11 16:11:29
dB-A	72.33	72.16	602	2022/7/11 16:11:29
dB-A	71.89	72.35	414	2022/7/11 16:11:29
dB-A	73.91	72.25	732	2022/7/11 16:11:29
dB-A	73.85	72.67	742	2022/7/11 16:11:29
dB-A	73.66	72.85	586	2022/7/11 16:11:30
dB-A	71.43	72.73	253	2022/7/11 16:11:30
dB-A	73.91	72.94	715	2022/7/11 16:11:30
dB-A	71.77	72.82	748	2022/7/11 16:11:30
dB-A	72.77	72.74	608	2022/7/11 16:11:30
dB-A	71.35	72.69	694	2022/7/11 16:11:30
dB-A	73.81	72.83	328	2022/7/11 16:11:30
dB-A	75.02	73.15	656	2022/7/11 16:11:30
dB-A	71.99	72.96	376	2022/7/11 16:11:30
dB-A	72.09	72.78	247	2022/7/11 16:11:30
dB-A	74.36	72.85	306	2022/7/11 16:11:30
dB-A	73.37	73.04	231	2022/7/11 16:11:31
dB-A	73.74	73.03	226	2022/7/11 16:11:31
dB-A	77.01	73.55	414	2022/7/11 16:11:31
dB-A	76.77	73.95	791	2022/7/11 16:11:31
dB-A	74.94	74.31	662	2022/7/11 16:11:31
dB-A	76.68	74.60	667	2022/7/11 16:11:31
dB-A	76.44	74.74	699	2022/7/11 16:11:31
dB-A	73.76	74.92	694	2022/7/11 16:11:31
dB-A	73.63	75.07	322	2022/7/11 16:11:31
dB-A	74.30	75.06	705	2022/7/11 16:11:31
dB-A	74.80	75.21	635	2022/7/11 16:11:31
dB-A	73.89	75.22	796	2022/7/11 16:11:32
dB-A	73.21	74.84	322	2022/7/11 16:11:32
dB-A	72.99	74.46	635	2022/7/11 16:11:32
dB-A	73.57	74.33	748	2022/7/11 16:11:32
dB-A	72.26	73.88	242	2022/7/11 16:11:32
dB-A	75.82	73.82	290	2022/7/11 16:11:32
dB-A	73.24	73.77	279	2022/7/11 16:11:32
dB-A	75.67	73.97	247	2022/7/11 16:11:32
dB-A	75.69	74.11	312	2022/7/11 16:11:32
dB-A	73.69	74.00	258	2022/7/11 16:11:32
dB-A	73.23	73.94	328	2022/7/11 16:11:33
dB-A	72.48	73.86	328	2022/7/11 16:11:33
dB-A	71.58	73.72	640	2022/7/11 16:11:33
dB-A	71.44	73.51	360	2022/7/11 16:11:33
dB-A	75.14	73.80	694	2022/7/11 16:11:33
dB-A	74.74	73.69	710	2022/7/11 16:11:33
dB-A	72.88	73.65	699	2022/7/11 16:11:33
dB-A	73.83	73.47	759	2022/7/11 16:11:33
dB-A	74.34	73.34	253	2022/7/11 16:11:33
dB-A	73.77	73.34	317	2022/7/11 16:11:33
dB-A	73.74	73.39	441	2022/7/11 16:11:33
dB-A	72.22	73.37	328	2022/7/11 16:11:34
dB-A	76.92	73.90	328	2022/7/11 16:11:34
dB-A	75.98	74.36	759	2022/7/11 16:11:34
dB-A	75.05	74.35	721	2022/7/11 16:11:34
dB-A	78.13	74.69	715	2022/7/11 16:11:34
dB-A	74.25	74.82	328	2022/7/11 16:11:34
dB-A	72.22	74.66	409	2022/7/11 16:11:34
dB-A	73.41	74.57	678	2022/7/11 16:11:34
dB-A	72.69	74.46	376	2022/7/11 16:11:34
dB-A	74.49	74.54	705	2022/7/11 16:11:34
dB-A	74.42	74.76	296	2022/7/11 16:11:34
dB-A	72.17	74.28	263	2022/7/11 16:11:35
dB-A	73.95	74.08	387	2022/7/11 16:11:35
dB-A	74.41	74.01	242	2022/7/11 16:11:35
dB-A	74.01	73.60	715	2022/7/11 16:11:35
dB-A	73.78	73.56	678	2022/7/11 16:11:35
dB-A	72.11	73.55	710	2022/7/11 16:11:35
dB-A	75.49	73.75	355	2022/7/11 16:11:35
dB-A	77.76	74.26	726	2022/7/11 16:11:35
dB-A	76.62	74.47	689	2022/7/11 16:11:35
